,quantity,slug,_id,name,price,sellerId,selectedVariation.color.name,selectedVariation.color.hex,selectedVariation.images,selectedVariation._id,selectedVariation.size,selectedVariation.stockTecidos,selectedVariation.tecidos._id,selectedVariation.tecidos.tecidosImages,selectedVariation.tecidos.name,associatedProduct,createdAt
832,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Bordo,#740F0F,"['products/16261823862591-enika.jpg', 'products/16261823864282-enika.jpg', 'products/16261823866153-enika.jpg', 'products/16261823867884-enika.jpg', 'products/16261823868445-enika.jpg']",60dc99d3971a4b0017455e8f,P,False,,,,,2021-07-19 15:26:46.725000+00:00
833,1,camisa-oversized,5da77b7d035b1a00172b3b94,Camisa Oversized,17800,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/16152358106482-enika.jpg', 'products/16152358114533-enika.jpg', 'products/16152358116274-enika.jpg', 'products/16152358121595-enika.jpg', 'products/16152358126536-enika.jpg', 'products/16152358129937-enika.jpg', 'products/16152358134918-enika.jpg']",60468ae2f695430017b4bb2f,P,True,5fc7abfc588c8d00175e065b,tecidos/160692121279249-enika.jpg,Linho Branco,,2021-06-24 13:39:46.109000+00:00
834,1,macacao-quadric-moletom-pronta-entrega,60e70d7dc893120017f96413,Macacão Quadric Moletom Pronta-entrega,23800,5caf95599eebb200176e2999,Cinza,#C3C2C0,"['products/16195500040671-enika.jpg', 'products/16195500047932-enika.jpg', 'products/16195500050103-enika.jpg', 'products/16195500052184-enika.jpg']",60ed8b3f33f4c600f938643f,P,False,607a052c62cf95001772c237,tecidos/16186094524931-enika.jpg,Moletom peluciado,,2021-07-16 19:11:11.559000+00:00
835,1,conjunto-comphy-linho,5f96cc4089f4fa001707480b,Conjunto Comphy Linho,41000,5caf95599eebb200176e2999,Marrom,"RGBA(144, 82, 18, 0.73)","['products/160371821103964-enika.jpg', 'products/160371821240565-enika.jpg', 'products/160371821371866-enika.jpg', 'products/160371821503467-enika.jpg', 'products/160371821635068-enika.jpg', 'products/160371821765869-enika.jpg', 'products/160371821893470-enika.jpg']",5f96cc4089f4fa001707480c,PP,False,,,,,2021-07-23 12:59:48.649000+00:00
836,1,vestido-jardineira,5fada98c11112f0017358ada,Vestido Jardineira,16100,5caf95599eebb200176e2999,Verde,#26381A,"['products/16136855327791-enika.jpg', 'products/16136855335452-enika.jpg', 'products/16136855339363-enika.jpg', 'products/16136855343134-enika.jpg', 'products/16136855347015-enika.jpg']",602ee31c2b1f0100178b9b51,G,True,5fc7a650588c8d00175e0658,tecidos/160691976097246-enika.jpg,Linho Verde Classic,,2021-07-25 18:59:33.189000+00:00
837,1,conjunto-comphy-linho,5f96cc4089f4fa001707480b,Conjunto Comphy Linho,41000,5caf95599eebb200176e2999,Marrom,"RGBA(144, 82, 18, 0.73)","['products/160371821103964-enika.jpg', 'products/160371821240565-enika.jpg', 'products/160371821371866-enika.jpg', 'products/160371821503467-enika.jpg', 'products/160371821635068-enika.jpg', 'products/160371821765869-enika.jpg', 'products/160371821893470-enika.jpg']",5f96cc4089f4fa001707480c,M,False,,,,,2021-08-06 03:23:07.015000+00:00
838,1,conjunto-comphy-linho,5f96cc4089f4fa001707480b,Conjunto Comphy Linho,41000,5caf95599eebb200176e2999,Verde,#20321A,"['products/16052102854521-enika.jpg', 'products/16052102862242-enika.jpg', 'products/16052102866993-enika.jpg', 'products/16052102869854-enika.jpg', 'products/16052102872515-enika.jpg', 'products/16052102874806-enika.jpg', 'products/16052102876747-enika.jpg']",5f96cc4089f4fa0017074812,PP,False,,,,,2021-08-16 15:21:54.972000+00:00
839,1,bomber-estampa-exclusiva-lulireis,5d1b5581e5ecc000178bd837,Bomber Estampa Exclusiva Luli Reis ,18900,5caf95599eebb200176e2999,Azul,#477484,"['products/1564692871787293-PicsArt_07-01-04.01.20.jpg', 'products/1564692872124294-PicsArt_07-01-04.02.27.jpg', 'products/1564692872528295-PicsArt_07-01-04.18.18.jpg', 'products/1564692873534296-PicsArt_07-01-04.18.44.jpg', 'products/1564692874652297-PicsArt_07-01-03.51.09.jpg', 'products/1564692875104298-PicsArt_07-01-03.53.39.jpg', 'products/1564692875392299-PicsArt_07-02-11.49.38.jpg']",5dfb7c221e7b2600177c97c2,U,False,,,,,2021-07-06 01:36:20.638000+00:00
840,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Bordo,#740F0F,['products/16250700354732-enika.jpg'],60dc99d3971a4b0017455e8f,P,False,,,,,2021-07-06 01:36:20.638000+00:00
841,1,calca-jogger-2,5fbaa3b227ff210017b6d96a,Calça Jogger Bee,19700,5caf95599eebb200176e2999,Azul,#00094D,"['products/161160708530921-enika.jpg', 'products/161160708581522-enika.jpg', 'products/161160708632823-enika.jpg', 'products/161160708685724-enika.jpg', 'products/161160708748325-enika.jpg']",5fbaa3b227ff210017b6d96b,P,True,5ff75a288e16630017b81e29,tecidos/16100459936782-enika.jpg,Estampa Bee,,2021-07-06 01:36:20.638000+00:00
